trajectory,time,lon,lat,status,start,nearest_beach,distance_m
1455,2025-12-16 13:49:16.786749,14.557847,35.820606,1.0,2025-12-15 17:19:16.786749,Delimara,1371.7928221943368
1457,2025-12-16 13:49:16.786749,14.557124,35.82153,1.0,2025-12-15 17:19:16.786749,Delimara,1251.1674435753896
1475,2025-12-16 14:49:16.786749,14.555423,35.825577,1.0,2025-12-15 17:19:16.786749,Delimara,801.8005475501828
1476,2025-12-16 16:04:16.786749,14.5555935,35.826786,1.0,2025-12-15 17:19:16.786749,Delimara,718.0224777366569
1477,2025-12-16 14:49:16.786749,14.555434,35.826393,1.0,2025-12-15 17:19:16.786749,Delimara,736.911764382577
1486,2025-12-16 14:04:16.786749,14.557889,35.81949,1.0,2025-12-15 17:19:16.786749,Delimara,1478.3851132196362
1494,2025-12-16 14:34:16.786749,14.555372,35.825005,1.0,2025-12-15 17:19:16.786749,Delimara,847.6237116638295
1496,2025-12-16 14:34:16.786749,14.557615,35.82114,1.0,2025-12-15 17:19:16.786749,Delimara,1311.2178071944147
1510,2025-12-16 14:04:16.786749,14.557423,35.821396,1.0,2025-12-15 17:19:16.786749,Delimara,1278.1953153793
1515,2025-12-16 15:49:16.786749,14.556115,35.827328,1.0,2025-12-15 17:19:16.786749,Delimara,718.2741135405976
1516,2025-12-16 13:49:16.786749,14.556991,35.82209,1.0,2025-12-15 17:19:16.786749,Delimara,1193.0786894529529
1518,2025-12-16 14:04:16.786749,14.55557,35.823853,1.0,2025-12-15 17:19:16.786749,Delimara,960.7522556334443
1535,2025-12-16 14:49:16.786749,14.557028,35.82255,1.0,2025-12-15 17:19:16.786749,Delimara,1153.2979476445964
1541,2025-12-16 14:19:16.786749,14.556744,35.82276,1.0,2025-12-15 17:19:16.786749,Delimara,1119.6423005557526
1548,2025-12-16 14:04:16.786749,14.555315,35.82413,1.0,2025-12-15 17:19:16.786749,Delimara,922.5267029519338
1549,2025-12-16 15:49:16.786749,14.555436,35.82662,1.0,2025-12-15 17:19:16.786749,Delimara,719.8786329009625
1557,2025-12-16 14:04:16.786749,14.555483,35.824047,1.0,2025-12-15 17:19:16.786749,Delimara,938.6565669020827
1558,2025-12-16 16:19:16.786749,14.555439,35.826584,1.0,2025-12-15 17:19:16.786749,Delimara,722.6555752061836
1572,2025-12-16 14:34:16.786749,14.557153,35.821514,1.0,2025-12-15 17:19:16.786749,Delimara,1253.977503430775
1574,2025-12-16 14:04:16.786749,14.556671,35.82297,1.0,2025-12-15 17:19:16.786749,Delimara,1097.0409459977864
1588,2025-12-16 15:34:16.786749,14.555372,35.826363,1.0,2025-12-15 17:19:16.786749,Delimara,735.2980200623106
1593,2025-12-16 16:49:16.786749,14.555707,35.826942,1.0,2025-12-15 17:19:16.786749,Delimara,714.6661338092263
1595,2025-12-16 14:49:16.786749,14.555429,35.825714,1.0,2025-12-15 17:19:16.786749,Delimara,790.8295511876227
1599,2025-12-16 13:49:16.786749,14.555534,35.82409,1.0,2025-12-15 17:19:16.786749,Delimara,937.489570811297
1602,2025-12-16 13:49:16.786749,14.557816,35.819565,1.0,2025-12-15 17:19:16.786749,Delimara,1467.803236137773
1604,2025-12-16 14:19:16.786749,14.556599,35.822903,1.0,2025-12-15 17:19:16.786749,Delimara,1099.4232723502016
1610,2025-12-16 14:19:16.786749,14.555894,35.823807,1.0,2025-12-15 17:19:16.786749,Delimara,981.5260145051864
